rank,company,ticker,cik,fiscal_year,current_federal,current_state,current_foreign,total_current,deferred_federal,deferred_state,deferred_foreign,total_deferred,total_tax_expense,pretax_income,effective_tax_rate,cash_taxes_paid
49,Procter & Gamble Co.,PG,0000080424,2023,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
52,American Airlines Group Inc.,AAL,0000006201,2024,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00%,0.00
52,American Airlines Group Inc.,AAL,0000006201,2023,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
52,American Airlines Group Inc.,AAL,0000006201,2022,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
53,United Airlines Holdings Inc.,UAL,0000100517,2024,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,019.00",0.00,0.00%,0.00
53,United Airlines Holdings Inc.,UAL,0000100517,2023,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,769.00,0.00,0.00%,0.00
53,United Airlines Holdings Inc.,UAL,0000100517,2022,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,253.00,0.00,0.00%,0.00
54,Lockheed Martin Corp.,LMT,0000936468,2024,0.00,0.00,120.00,120.00,0.00,0.00,16.00,16.00,136.00,0.00,30.00%,0.00
54,Lockheed Martin Corp.,LMT,0000936468,2023,0.00,0.00,102.00,102.00,0.00,0.00,5.00,5.00,107.00,0.00,0.00%,0.00
54,Lockheed Martin Corp.,LMT,0000936468,2022,0.00,0.00,87.00,87.00,0.00,0.00,19.00,19.00,106.00,0.00,0.00%,0.00
59,Morgan Stanley,MS,0000895421,2024,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"4,067.00",0.00,0.00%,0.00
59,Morgan Stanley,MS,0000895421,2023,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"2,583.00",0.00,0.00%,0.00
59,Morgan Stanley,MS,0000895421,2022,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"2,910.00",0.00,0.00%,0.00
